method,k,mean_factuality,std_factuality,sem_factuality,n
anchored,0.1,0.42777777777777776,0.1710570636437554,0.04416674391622712,15
anchored,0.5,0.39333333333333337,0.19821424996424675,0.05117869927283478,15
anchored,1.0,0.39166666666666666,0.198256287556172,0.051189553332397525,15
anchored,2.0,0.39333333333333337,0.19821424996424675,0.05117869927283478,15
anchored,4.0,0.43333333333333335,0.16996731711975946,0.04388537257362554,15
logit_mixing,0.1,0.36666666666666664,0.22110831935702666,0.05708992257184502,15
logit_mixing,0.5,0.32111111111111107,0.22904525403304415,0.059139230293188474,15
logit_mixing,1.0,0.3266666666666667,0.23228335186912463,0.059975303559357145,15
logit_mixing,2.0,0.32222222222222224,0.22946529364514873,0.059247684054683704,15
logit_mixing,4.0,0.3527777777777778,0.21563142994528167,0.05567579580646448,15
